,genotype.ID,root.mean,root.sd,root.z,SLA.mean,SLA.sd,SLA.z,rafts.mean,rafts.sd,rafts.z,growth.mean,growth.sd,growth.z
1,LJ01,216.666666666667,125.962957517941,-0.763380726099441,30.7838668416667,23.0402876715865,1.32691916229111,8.49999999883333,4.12445282405908,1.08113025154906,6.2,3.76828873628335,2.05430181023616
2,LJ02,351.666666666667,173.3685861587,0.518149612015683,19.373827775,7.38558121058227,-1.91014967938576,7.22222222216667,3.52556798682824,0.438598060930953,3.7,1.70293863659264,0.258583444645111
3,LJ03,248.333333333333,87.5023809199879,-0.46277484431935,22.9330107223333,10.9832712021158,-0.900396763263078,7.22222222216667,3.56941742323642,0.438598060930953,1.3,1.15950180872841,-1.46530618632229
4,LJ04,311.666666666667,206.050155706485,0.138436919240832,28.22915508,20.2478345741489,0.602138309671946,9.77777777783333,4.66984019038165,1.72366244334048,1.8,0.447213595499958,-1.10616251320408
5,LM01,470,112.960169971544,1.64146632814129,26.1779857383333,10.8868302055963,0.0202142403399247,7.444444445,2.17732421675304,0.550342790138569,3.2,2.14993539954628,-0.100560228473098
6,LM02,240,139.761701954911,-0.541881655314111,23.124902875,13.8846545599805,-0.845956274082437,5.83333333333333,2.27791327529776,-0.259806494668096,4,1.22474487139159,0.474069648516037
7,LM03,321.666666666667,94.1098648743407,0.233365092434545,30.034510605,13.1227972365005,1.11432412112982,4.1666666665,0.912870929138762,-1.09789196150429,2.3,1.49443411809733,-0.747018840085876
8,LM04,452.5,261.581727190567,1.47534202505229,25.1723784433333,7.82902104694218,-0.265080141439825,4.8333333335,1.130388330629,-0.762657774635716,2.9,1.10050493461461,-0.316046432344024
9,LM05,146.666666666667,72.0185161376341,-1.42787793845543,27.255767196,9.06979109331002,0.325984689885727,3.83333333333333,0.658280588908205,-1.26550905477095,4,1.22474487139159,0.474069648516037
10,LM06,211.666666666667,118.222953214114,-0.810844812696298,27.9819393883333,11.2201943133538,0.532002334852576,4.66666666683333,1.11554670206535,-0.846466321310954,4,2.40370085030933,0.474069648516037
