,Treatment,Rep,Position,Table,SampleID,GenotypeID
577,SPIRO,6,CORE,4,S6C1H,LM04
578,SPIRO,6,CORE,4,S6C1I,LM01
579,SPIRO,6,CORE,4,S6C1J,LJ03
580,SPIRO,6,EDGE,4,S6E1A,LM01
581,SPIRO,6,EDGE,4,S6E1B,LJ04
582,SPIRO,7,CORE,4,S7C1A,LJ03
583,SPIRO,7,CORE,4,S7C1B,LM02
584,SPIRO,7,CORE,4,S7C1B-1,LJ03
585,SPIRO,7,CORE,4,S7C1C,LM01
586,SPIRO,7,CORE,4,S7C1D-1,LM02
587,SPIRO,7,CORE,4,S7C1D,LM01
588,SPIRO,7,CORE,4,S7C1E,LJ03
589,SPIRO,7,CORE,4,S7C1F,LM04
590,SPIRO,7,CORE,4,S7C1G,LJ01
591,SPIRO,7,CORE,4,S7C1H,LM06
592,SPIRO,7,CORE,4,S7C1I,LM04
594,SPIRO,7,EDGE,4,S7E1A-1,LJ03
595,SPIRO,7,EDGE,4,S7E1A,LJ04
596,SPIRO,7,EDGE,4,S7E1B,LM01
597,SPIRO,7,EDGE,4,S7E1C-1,LJ03
598,SPIRO,7,EDGE,4,S7E1C,LJ03
601,SPIRO,8,CORE,4,S8C1A,LJ03
602,SPIRO,8,CORE,4,S8C1B,LJ03
603,SPIRO,8,CORE,4,S8C1C,LJ03
604,SPIRO,8,CORE,4,S8C1D,LJ03
605,SPIRO,8,CORE,4,S8C1E,LJ03
606,SPIRO,8,CORE,4,S8C1F,LJ03
607,SPIRO,8,CORE,4,S8C1G,LJ03
608,SPIRO,8,CORE,4,S8C1H,LM05
609,SPIRO,8,CORE,4,S8C1I,LJ01
610,SPIRO,8,CORE,4,S8C1J,LJ03
611,SPIRO,8,EDGE,4,S8E1A,LM05
612,SPIRO,8,EDGE,4,S8E1B,LJ02
613,SPIRO,8,EDGE,4,S8E1C,LJ01
614,SPIRO,8,EDGE,4,S8E1D,LJ01
615,SPIRO,9,CORE,2,S9C1A,LM04
616,SPIRO,9,CORE,2,S9C1B,LM03
617,SPIRO,9,CORE,2,S9C1C,LM04
618,SPIRO,9,CORE,2,S9C1D,LM04
619,SPIRO,9,CORE,2,S9C1E,LM03
620,SPIRO,9,CORE,2,S9C1F,LJ03
621,SPIRO,9,CORE,2,S9C1G,LM02
622,SPIRO,9,CORE,2,S9C1H,LM04
623,SPIRO,9,CORE,2,S9C1I,LJ04
624,SPIRO,9,CORE,2,S9C1J,LJ01
625,SPIRO,9,EDGE,2,S9E1A,LM03
626,SPIRO,9,EDGE,2,S9E1B,LJ01
627,SPIRO,9,EDGE,2,S9E1C,LJ01
629,SPIRO,9,EDGE,2,S9E1E,LJ04
631,SPIRO,9,EDGE,2,S9E1G,LM04
632,SPIRO,9,EDGE,2,S9E1H,LJ01
633,SPIRO,9,EDGE,2,S9E1I,LJ01
634,SPIRO,9,EDGE,2,S9E1O,LJ01
635,SPIRO,9,EDGE,2,S9E1P,LM03
637,SPIRO,10,CORE,5,S10C1A,LM06
638,SPIRO,10,CORE,5,S10C1B,LM04
639,SPIRO,10,CORE,5,S10C1C,LM06
640,SPIRO,10,CORE,5,S10C1D,LM06
641,SPIRO,10,CORE,5,S10C1E,LM06
642,SPIRO,10,CORE,5,S10C1F,LM04
644,SPIRO,10,CORE,5,S10C1H,LM06
645,SPIRO,10,CORE,5,S10C1I,LM06
646,SPIRO,10,CORE,5,S10C1J,LM06
647,SPIRO,10,EDGE,5,S10E1A,LJ03
648,SPIRO,10,EDGE,5,S10E1B,LJ03
650,SPIRO,10,EDGE,5,S10E1D,LJ03
651,SPIRO,10,EDGE,5,S10E1E,LM02
652,SPIRO,10,EDGE,5,S10E1F,LM02
653,SPIRO,10,EDGE,5,S10E1G,LJ04
654,SPIRO,10,EDGE,5,S10E1H,LJ04
655,SPIRO,10,EDGE,5,S10E1I,LJ02
656,SPIRO,10,EDGE,5,S10E1J,LM02
657,SPIRO,11,CORE,3,S11C1A,LJ01
658,SPIRO,11,CORE,3,S11C1B,LJ03
659,SPIRO,11,CORE,3,S11C1C,LJ04
660,SPIRO,11,CORE,3,S11C1D,LJ04
662,SPIRO,11,CORE,3,S11C1F,LJ03
663,SPIRO,11,CORE,3,S11C1G,LJ03
664,SPIRO,11,CORE,3,S11C1H,LJ04
665,SPIRO,11,CORE,3,S11C1I,LJ03
666,SPIRO,11,CORE,3,S11C1J,LJ03
667,SPIRO,11,CORE,3,S11C1K,LJ03
668,SPIRO,11,CORE,3,S11C1L,LM04
669,SPIRO,11,CORE,3,S11C1M,LJ01
670,SPIRO,11,CORE,3,S11C1N,LM04
671,SPIRO,11,CORE,3,S11C1O-1,LJ03
672,SPIRO,11,CORE,3,S11C1O,LJ04
673,SPIRO,11,CORE,3,S11C1P,LM04
674,SPIRO,11,CORE,3,S11C1Q,LJ03
675,SPIRO,11,CORE,3,S11C1R,LJ04
676,SPIRO,11,EDGE,3,S11E1A,LM06
677,SPIRO,11,EDGE,3,S11E1B,LM06
678,SPIRO,11,EDGE,3,S11E1C,LM06
679,SPIRO,11,EDGE,3,S11E1D,LM01
680,SPIRO,11,EDGE,3,S11E1E,LJ01
681,SPIRO,11,EDGE,3,S11E1F,LM06
683,SPIRO,11,EDGE,3,S11E1H,LM01
684,SPIRO,11,EDGE,3,S11E1I,LJ03
685,SPIRO,11,EDGE,3,S11E1J,LJ03
686,SPIRO,11,EDGE,3,S11E1K,LM01
687,SPIRO,11,EDGE,3,S11E1L,LJ04
688,SPIRO,11,EDGE,3,S11E1M,LJ01
689,SPIRO,11,EDGE,3,S11E1N,LM06
690,SPIRO,11,EDGE,3,S11E1O,LM05
691,SPIRO,11,EDGE,3,S11E1P,LM03
692,SPIRO,12,CORE,5,S12C1A,LM05
693,SPIRO,12,CORE,5,S12C1B,LM04
694,SPIRO,12,CORE,5,S12C1C,LJ04
695,SPIRO,12,CORE,5,S12C1D,LM01
696,SPIRO,12,CORE,5,S12C1E,LJ03
697,SPIRO,12,CORE,5,S12C1F-1,LM02
698,SPIRO,12,CORE,5,S12C1F,LM02
699,SPIRO,12,CORE,5,S12C1G,LM06
700,SPIRO,12,CORE,5,S12C1H,LJ04
701,SPIRO,12,CORE,5,S12C1I,LJ04
702,SPIRO,12,CORE,5,S12C1J,LM03
703,SPIRO,12,CORE,5,S12C1K,LJ03
704,SPIRO,12,CORE,5,S12C1L,LJ01
705,SPIRO,12,CORE,5,S12C1M,LJ04
706,SPIRO,12,CORE,5,S12C1N,LJ03
707,SPIRO,12,CORE,5,S12C1O,LJ01
708,SPIRO,12,CORE,5,S12C1P,LJ03
709,SPIRO,12,CORE,5,S12C1Q,LJ03
710,SPIRO,12,CORE,5,S12C1R,LJ04
711,SPIRO,12,CORE,5,S12C1S,LJ03
712,SPIRO,12,EDGE,5,S12E1A,LM02
713,SPIRO,12,EDGE,5,S12E1B,LM02
714,SPIRO,12,EDGE,5,S12E1C,LM02
715,SPIRO,12,EDGE,5,S12E1D,LM02
716,SPIRO,12,EDGE,5,S12E1E,LJ01
717,SPIRO,12,EDGE,5,S12E1F,LM02
718,SPIRO,12,EDGE,5,S12E1G,LJ01
719,SPIRO,12,EDGE,5,S12E1H,LJ04
720,SPIRO,12,EDGE,5,S12E1I,LJ03
721,SPIRO,12,EDGE,5,S12E1J,LJ01
723,SPIRO,12,EDGE,5,S12E1L,LJ03
724,SPIRO,12,EDGE,5,S12E1M,LJ02
725,SPIRO,12,EDGE,5,S12E1N,LM02
726,SPIRO,12,EDGE,5,S12E1O,LM02
727,SPIRO,12,EDGE,5,S12E1P,LM02
728,SPIRO,12,EDGE,5,S12E1R,LJ02
729,SPIRO,13,CORE,5,S13C1A,LJ03
730,SPIRO,13,CORE,5,S13C1B,LJ01
731,SPIRO,13,CORE,5,S13C1C,LJ01
732,SPIRO,13,CORE,5,S13C1D,LJ03
733,SPIRO,13,CORE,5,S13C1E,LJ03
734,SPIRO,13,CORE,5,S13C1F,LJ03
735,SPIRO,13,CORE,5,S13C1G-1,LJ03
736,SPIRO,13,CORE,5,S13C1G,LM06
737,SPIRO,13,CORE,5,S13C1H,LJ01
738,SPIRO,13,CORE,5,S13C1I,LJ03
739,SPIRO,13,CORE,5,S13C1J,LJ01
740,SPIRO,13,EDGE,5,S13E1A,LJ02
741,SPIRO,13,EDGE,5,S13E1B,LJ03
742,SPIRO,13,EDGE,5,S13E1C,LJ02
743,SPIRO,13,EDGE,5,S13E1D,LJ02
744,SPIRO,13,EDGE,5,S13E1E,LJ02
745,SPIRO,13,EDGE,5,S13E1F,LJ02
746,SPIRO,13,EDGE,5,S13E1G,LJ02
747,SPIRO,13,EDGE,5,S13E1H,LJ02
748,SPIRO,13,EDGE,5,S13E1I,LJ02
749,SPIRO,13,EDGE,5,S13E1J,LJ02
751,SPIRO,14,CORE,2,S14C1B,LJ01
752,SPIRO,14,CORE,2,S14C1C,LM02
753,SPIRO,14,CORE,2,S14C1D,LM04
754,SPIRO,14,CORE,2,S14C1E,LM06
755,SPIRO,14,CORE,2,S14C1F,LM04
756,SPIRO,14,CORE,2,S14C1G,LJ02
757,SPIRO,14,CORE,2,S14C1H,LJ04
758,SPIRO,14,CORE,2,S14C1I,LM03
759,SPIRO,14,CORE,2,S14C1J,LM04
760,SPIRO,14,CORE,2,S14C1K,LM05
761,SPIRO,14,CORE,2,S14C1L,LJ04
762,SPIRO,14,CORE,2,S14C1M,LM02
763,SPIRO,14,CORE,2,S14C1N,LJ04
764,SPIRO,14,CORE,2,S14C1O,LJ04
765,SPIRO,14,CORE,2,S14C1P,LM02
766,SPIRO,14,EDGE,2,S14E1A,LJ02
767,SPIRO,14,EDGE,2,S14E1B,LM01
768,SPIRO,14,EDGE,2,S14E1C,LJ03
769,SPIRO,14,EDGE,2,S14E1D,LJ02
770,SPIRO,14,EDGE,2,S14E1E,LJ04
771,SPIRO,14,EDGE,2,S14E1F,LJ04
772,SPIRO,14,EDGE,2,S14E1G,LM06
773,SPIRO,14,EDGE,2,S14E1H,LJ04
774,SPIRO,14,EDGE,2,S14E1I,LJ02
775,SPIRO,14,EDGE,2,S14E1J,LJ04
776,SPIRO,14,EDGE,2,S14E1K,LM03
777,SPIRO,14,EDGE,2,S14E1L,LJ02
778,SPIRO,14,EDGE,2,S14E1M,LJ03
779,SPIRO,14,EDGE,2,S14E1N,LJ04
780,SPIRO,14,EDGE,2,S14E1O,LM04
781,SPIRO,14,EDGE,2,S14E1P,LJ04
782,SPIRO,16,CORE,3,S16C1A,LJ01
783,SPIRO,16,CORE,3,S16C1B,LJ03
784,SPIRO,16,CORE,3,S16C1C,LJ03
786,SPIRO,16,CORE,3,S16C1E,LM02
787,SPIRO,16,CORE,3,S16C1F,LM01
788,SPIRO,16,CORE,3,S16C1G,LJ03
789,SPIRO,16,CORE,3,S16C1H,LJ03
790,SPIRO,16,CORE,3,S16C1I,LM04
792,SPIRO,16,EDGE,3,S16E1A,LJ03
793,SPIRO,16,EDGE,3,S16E1B,LJ03
794,SPIRO,16,EDGE,3,S16E1C,LJ02
795,SPIRO,16,EDGE,3,S16E1D,LJ04
796,SPIRO,16,EDGE,3,S16E1E,LM02
797,SPIRO,16,EDGE,3,S16E1F,LJ03
798,SPIRO,16,EDGE,3,S16E1G,LJ02
799,SPIRO,16,EDGE,3,S16E1H,LJ02
800,SPIRO,16,EDGE,3,S16E1H,LJ04
801,SPIRO,16,EDGE,3,S16E1I,LJ04
802,SPIRO,16,EDGE,3,S16E1J,LM02
803,SPIRO,17,CORE,5,S17C1A,LM05
804,SPIRO,17,CORE,5,S17C1B,LM03
805,SPIRO,17,CORE,5,S17C1C,LM05
806,SPIRO,17,CORE,5,S17C1D,LJ01
807,SPIRO,17,CORE,5,S17C1E,LJ03
808,SPIRO,17,CORE,5,S17C1F,LJ03
809,SPIRO,17,CORE,5,S17C1G,LJ02
810,SPIRO,17,CORE,5,S17C1H,LM06
811,SPIRO,17,CORE,5,S17C1I,LM05
812,SPIRO,17,CORE,5,S17C1J,LM05
813,SPIRO,17,EDGE,5,S17E1A,LM02
814,SPIRO,17,EDGE,5,S17E1A(2),LJ03
815,SPIRO,17,EDGE,5,S17E1B,LM02
816,SPIRO,17,EDGE,5,S17E1C,LJ03
817,SPIRO,17,EDGE,5,S17E1D,LM02
818,SPIRO,17,EDGE,5,S17E1E,LM02
820,SPIRO,17,EDGE,5,S17E1G,LM02
821,SPIRO,17,EDGE,5,S17E1H,LM01
822,SPIRO,17,EDGE,5,S17E1I,LM01
823,SPIRO,17,EDGE,5,S17E1J,LM02
824,SPIRO,18,CORE,1,S18C1A,LJ01
825,SPIRO,18,CORE,1,S18C1B,LM02
826,SPIRO,18,CORE,1,S18C1C,LM02
827,SPIRO,18,CORE,1,S18C1D,LJ04
828,SPIRO,18,CORE,1,S18C1E,LM01
829,SPIRO,18,CORE,1,S18C1F,LJ04
830,SPIRO,18,CORE,1,S18C1G,LM04
831,SPIRO,18,CORE,1,S18C1H,LM02
832,SPIRO,18,CORE,1,S18C1I,LJ03
833,SPIRO,18,CORE,1,S18C1J,LM02
834,SPIRO,18,EDGE,1,S18E1A,LJ04
835,SPIRO,18,EDGE,1,S18E1B,LM04
836,SPIRO,18,EDGE,1,S18E1C,LJ01
838,SPIRO,18,EDGE,1,S18E1E,LM06
839,SPIRO,18,EDGE,1,S18E1F,LJ01
840,SPIRO,18,EDGE,1,S18E1G,LM06
841,SPIRO,18,EDGE,1,S18E1H,LJ02
842,SPIRO,18,EDGE,1,S18E1I,LJ02
843,SPIRO,18,EDGE,1,S18E1O,LM02
844,SPIRO,18,EDGE,1,S18E1J,LJ02
845,SPIRO,19,CORE,1,S19C1A,LM02
846,SPIRO,19,CORE,1,S19C1B,LM02
847,SPIRO,19,CORE,1,S19C1C,LJ04
848,SPIRO,19,CORE,1,S19C1D,LJ02
849,SPIRO,19,CORE,1,S19C1E,LJ02
850,SPIRO,19,CORE,1,S19C1F,LJ03
851,SPIRO,19,CORE,1,S19C1G,LJ04
852,SPIRO,19,CORE,1,S19C1H,LM02
853,SPIRO,19,CORE,1,S19C1I,LM02
854,SPIRO,19,CORE,1,S19C1J,LJ03
855,SPIRO,19,EDGE,1,S19E1A,LJ02
856,SPIRO,19,EDGE,1,S19E1B,LM03
857,SPIRO,19,EDGE,1,S19E1C,LJ02
858,SPIRO,19,EDGE,1,S19E1D,LM05
859,SPIRO,19,EDGE,1,S19E1E,LM02
860,SPIRO,19,EDGE,1,S19E1F,LJ02
861,SPIRO,19,EDGE,1,S19E1G,LM03
862,SPIRO,19,EDGE,1,S19E1H,LM04
863,SPIRO,19,EDGE,1,S19E1I,LJ03
864,SPIRO,19,EDGE,1,S19E1J,LJ03
865,SPIRO,20,CORE,1,S20C1A,LM01
866,SPIRO,20,CORE,1,S20C1B,LM04
867,SPIRO,20,CORE,1,S20C1C,LM04
868,SPIRO,20,CORE,1,S20C1D,LJ03
869,SPIRO,20,CORE,1,S20C1E,LJ03
870,SPIRO,20,CORE,1,S20C1F,LM01
871,SPIRO,20,CORE,1,S20C1G,LJ03
872,SPIRO,20,CORE,1,S20C1H,LJ03
873,SPIRO,20,CORE,1,S20C1I,LM01
874,SPIRO,20,CORE,1,S20C1J,LJ01
875,SPIRO,20,CORE,1,S20C1K,LM01
876,SPIRO,20,CORE,1,S20C1L,LM01
877,SPIRO,20,CORE,1,S20C1M,LJ01
878,SPIRO,20,CORE,1,S20C1N,LJ03
879,SPIRO,20,CORE,1,S20C1O,LM03
880,SPIRO,20,CORE,1,S20C1P,LJ01
881,SPIRO,20,EDGE,1,S20E1A,LJ03
882,SPIRO,20,EDGE,1,S20E1B,LJ03
883,SPIRO,20,EDGE,1,S20E1C,LM03
884,SPIRO,20,EDGE,1,S20E1D,LJ01
885,SPIRO,20,EDGE,1,S20E1E,LJ04
886,SPIRO,20,EDGE,1,S20E1F,LJ04
887,SPIRO,20,EDGE,1,S20E1G,LJ03
888,SPIRO,20,EDGE,1,S20E1H,LJ03
889,SPIRO,20,EDGE,1,S20E1I,LM06
890,SPIRO,20,EDGE,1,S20E1J,LM06
891,SPIRO,20,EDGE,1,S20E1K,LJ04
892,SPIRO,20,EDGE,1,S20E1L,LM06
894,SPIRO,20,EDGE,1,S20E1N,LM03
895,SPIRO,20,EDGE,1,S20E1O,LJ03
896,SPIRO,20,EDGE,1,S20E1P,LJ04
897,SPIRO,21,CORE,1,S21C1A,LM04
898,SPIRO,21,CORE,1,S21C1B,LJ02
899,SPIRO,21,CORE,1,S21C1C,LJ04
900,SPIRO,21,CORE,1,S21C1D,LJ02
902,SPIRO,21,CORE,1,S21C1E,LJ04
903,SPIRO,21,CORE,1,S21C1F,LJ03
904,SPIRO,21,CORE,1,S21C1G,LJ04
905,SPIRO,21,CORE,1,S21C1H,LJ03
906,SPIRO,21,CORE,1,S21C1I,LJ04
908,SPIRO,21,CORE,1,S21C1K-1,LJ04
909,SPIRO,21,CORE,1,S21C1K,LM01
910,SPIRO,21,CORE,1,S21C1L,LJ02
911,SPIRO,21,CORE,1,S21C1L,LJ02
912,SPIRO,21,CORE,1,S21C1M,LJ04
913,SPIRO,21,CORE,1,S21C1N,LJ02
914,SPIRO,21,CORE,1,S21C1O,LJ02
915,SPIRO,21,EDGE,1,S21E1A,LJ03
916,SPIRO,21,EDGE,1,S21E1B,LM06
917,SPIRO,21,EDGE,1,S21E1C,LJ03
918,SPIRO,21,EDGE,1,S21E1D,LJ03
919,SPIRO,21,EDGE,1,S21E1E,LJ01
920,SPIRO,21,EDGE,1,S21E1F,LJ04
921,SPIRO,21,EDGE,1,S21E1G,LJ01
922,SPIRO,21,EDGE,1,S21E1H,LJ03
923,SPIRO,21,EDGE,1,S21E1I,LJ01
924,SPIRO,21,EDGE,1,S21E1J,LJ03
925,SPIRO,21,EDGE,1,S21E1K,LJ03
927,SPIRO,21,EDGE,1,S21E1M,LJ04
928,SPIRO,21,EDGE,1,S21E1N,LJ02
931,SPIRO,24,CORE,3,S24C1A,LJ02
932,SPIRO,24,CORE,3,S24C1B,LM04
933,SPIRO,24,CORE,3,S24C1C,LJ03
934,SPIRO,24,CORE,3,S24C1D,LM04
935,SPIRO,24,CORE,3,S24C1E,LM01
936,SPIRO,24,CORE,3,S24C1F,LM04
937,SPIRO,24,CORE,3,S24C1G,LJ03
938,SPIRO,24,CORE,3,S24C1H,LJ03
939,SPIRO,24,CORE,3,S24C1I,LM01
940,SPIRO,24,CORE,3,S24C1J,LM04
941,SPIRO,24,CORE,3,S24C1K,LM01
942,SPIRO,24,CORE,3,S24C1L,LM05
943,SPIRO,24,CORE,3,S24C1M,LJ02
944,SPIRO,24,CORE,3,S24C1N,LM04
945,SPIRO,24,CORE,3,S24C1O,LM06
946,SPIRO,24,CORE,3,S24C1P,LJ01
947,SPIRO,24,CORE,3,S24C1Q,LJ03
948,SPIRO,24,CORE,3,S24C1R,LM01
949,SPIRO,24,EDGE,3,S24E1A,LJ04
950,SPIRO,24,EDGE,3,S24E1B,LM05
951,SPIRO,24,EDGE,3,S24E1C,LM05
952,SPIRO,24,EDGE,3,S24E1D,LM06
953,SPIRO,24,EDGE,3,S24E1E,LM04
954,SPIRO,24,EDGE,3,S24E1F,LJ03
955,SPIRO,24,EDGE,3,S24E1G,LJ01
956,SPIRO,24,EDGE,3,S24E1H,LJ03
957,SPIRO,24,EDGE,3,S24E1I,LJ03
958,SPIRO,24,EDGE,3,S24E1J,LJ03
959,SPIRO,24,EDGE,3,S24E1K,LJ04
960,SPIRO,24,EDGE,3,S24E1L,LJ04
961,SPIRO,24,EDGE,3,S24E1M,LM04
962,SPIRO,24,EDGE,3,S24E1N,LJ04
963,SPIRO,24,EDGE,3,S24E1O,LM04
964,SPIRO,24,EDGE,3,S24E1P,LM04
965,SPIRO,24,EDGE,3,S24E1Q,LJ03
966,SPIRO,24,EDGE,3,S24E1R,LJ03
967,SPIRO,25,CORE,1,S25C1A,LJ03
968,SPIRO,25,CORE,1,S25C1B,LM03
969,SPIRO,25,CORE,1,S25C1C,LJ04
970,SPIRO,25,CORE,1,S25C1D,LJ04
971,SPIRO,25,CORE,1,S25C1E,LM03
972,SPIRO,25,CORE,1,S25C1F,LM06
973,SPIRO,25,CORE,1,S25C1G,LM02
974,SPIRO,25,CORE,1,S25C1G-1,LJ02
975,SPIRO,25,CORE,1,S25C1H,LM01
976,SPIRO,25,CORE,1,S25C1I,LM01
977,SPIRO,25,CORE,1,S25C1I-1,LJ04
978,SPIRO,25,CORE,1,S25C1J,LJ02
979,SPIRO,25,CORE,1,S25C1J-1,LJ03
980,SPIRO,25,CORE,1,S25C1M,LJ02
981,SPIRO,25,EDGE,1,S25E1A,LJ03
982,SPIRO,25,EDGE,1,S25E1B,LJ01
983,SPIRO,25,EDGE,1,S25E1C,LM03
984,SPIRO,25,EDGE,1,S25E1D,LJ03
985,SPIRO,25,EDGE,1,S25E1D-1,LJ04
986,SPIRO,25,EDGE,1,S25E1E,LM06
987,SPIRO,25,EDGE,1,S25E1F,LJ03
988,SPIRO,25,EDGE,1,S25E1G,LM06
989,SPIRO,25,EDGE,1,S25E1H,LM04
990,SPIRO,25,EDGE,1,S25E1I,LM02
991,SPIRO,25,EDGE,1,S25E1J,LM02
