,Treatment,Rep,BenchID,final_ext,position,n,prop_LJ01,prop_LJ02,prop_LJ03,prop_LJ04,prop_LM01,prop_LM02,prop_LM03,prop_LM04,prop_LM05,prop_LM06,raft.z,SLA.z,root.z,growth.z,LJ01_change,LJ02_change,LJ03_change,LJ04_change,LM01_change,LM02_change,LM03_change,LM04_change,LM05_change,LM06_change,GenNo,Simpson,InvSimpson,Abundance,CI_freq,CIup_diff,CIlow_diff,sig_LJ01,sig_LJ02,sig_LJ03,sig_LJ04,sig_LM01,sig_LM02,sig_LM03,sig_LM04,sig_LM05,sig_LM06,CI_raftUP,CI_raftLOW,CI_SLAUP,CI_SLALOW,CI_rootUP,CI_rootLOW,CI_growthUP,CI_growthLOW,CIdiff_raftUP,CIdiff_raftLOW,CIdiff_SLAUP,CIdiff_SLALOW,CIdiff_rootUP,CIdiff_rootLOW,CIdiff_growthUP,CIdiff_growthLOW
21,C,18,3,60,CORE,11,0,0,0,0,0.09,0.27,0,0.27,0.27,0.09,-0.6444039153,-0.1622644742,-0.05873680716,0.2042809213,-0.1,-0.1,-0.1,-0.1,-0.01,0.17,-0.1,0.17,0.17,-0.01,5,0.7603305785,1.315217391,11,0.4137045455,0.4093181818,-0.4093181818,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.6545955425,-0.634754504,0.6087777006,-0.6896762739,0.6473184492,-0.5528487359,0.6800058956,-0.6033613708,0.8812595666,-0.9524333398,0.9176342077,-0.9327258553,0.9267273014,-0.8401143328,0.8751678325,-0.8914109214
23,C,23,1,152,CORE,11,0.27,0,0.55,0.18,0,0,0,0,0,0,0.8433933412,-0.02856515024,-0.435720315,-0.4503661661,0.17,-0.1,0.45,0.08,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,3,0.5950413223,1.680555556,11,0.4137045455,0.4093181818,-0.4093181818,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.6545955425,-0.634754504,0.6087777006,-0.6896762739,0.6473184492,-0.5528487359,0.6800058956,-0.6033613708,0.8812595666,-0.9524333398,0.9176342077,-0.9327258553,0.9267273014,-0.8401143328,0.8751678325,-0.8914109214
25,C,24,1,155,CORE,16,0.44,0,0,0,0,0,0.06,0,0.5,0,-0.2229307344,0.8136962236,-1.035824583,1.09610649,0.34,-0.1,-0.1,-0.1,-0.1,-0.1,-0.04,-0.1,0.4,-0.1,3,0.5546875,1.802816901,16,0.353171875,0.28140625,-0.3125,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.5364619992,-0.5287358988,0.5022367766,-0.5047590021,0.5046581926,-0.4920320039,0.5458983831,-0.511723618,0.7429933213,-0.6818829228,0.7127932288,-0.7330371643,0.7409527091,-0.7338269159,0.774908591,-0.6824852113
27,C,25,2,100,CORE,15,0,0,0.4,0.07,0.13,0.07,0,0,0,0.33,0.07011981746,-0.1990373411,-0.2675392348,-0.4869988207,-0.1,-0.1,0.3,-0.03,0.03,-0.03,-0.1,-0.1,-0.1,0.23,5,0.7022222222,1.424050633,15,0.3466666667,0.3668333333,-0.2666666667,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5717838097,-0.5233610938,0.5249275376,-0.5761310962,0.5558637842,-0.4812990226,0.5889956239,-0.5554755478,0.8232792901,-0.7749031346,0.8022006506,-0.8083609659,0.7502621799,-0.7172746398,0.7518074224,-0.7952638068
29,S,1,3,31,CORE,10,0.2,0,0.5,0,0,0,0,0,0.3,0,0.05587236434,-0.08701914221,-0.8124269489,-0.1795718366,0.1,-0.1,0.4,-0.1,-0.1,-0.1,-0.1,-0.1,0.2,-0.1,3,0.62,1.612903226,10,0.42,0.4,-0.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.6999061254,-0.6481194276,0.6520114136,-0.723342242,0.6446315144,-0.6241922922,0.6825525508,-0.6645055812,0.9847853436,-0.9738902325,0.846595973,-0.9040504604,0.8990291303,-0.963580288,0.854761942,-0.9376343446
31,S,2,2,27,CORE,12,0.17,0,0.67,0,0,0,0.08,0,0.08,0,0.2885807623,-0.2624648689,-0.5353948968,-0.6543597724,0.07,-0.1,0.57,-0.1,-0.1,-0.1,-0.02,-0.1,-0.02,-0.1,4,0.5138888889,1.945945946,12,0.4042708333,0.4166666667,-0.3333333333,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.6412517828,-0.5730118377,0.5997223241,-0.6352059215,0.637246564,-0.5829842359,0.6298482167,-0.5614612756,0.8952673397,-0.8684078645,0.9295885429,-0.860914599,0.9135600626,-0.8984144044,0.8739162713,-0.8803509287
33,S,3,5,21,CORE,19,0,0,0.37,0.11,0,0,0,0,0.11,0.42,-0.1428376997,-0.007612291818,-0.6536200258,-0.4125842517,-0.1,-0.1,0.27,0.01,-0.1,-0.1,-0.1,-0.1,0.01,0.32,4,0.6648199446,1.504166667,19,0.3105263158,0.2631578947,-0.2369736842,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.4695851684,-0.4583739373,0.4408236959,-0.5156032463,0.4894629842,-0.4559102467,0.4761016456,-0.4919795764,0.6838850925,-0.6220579102,0.6616913013,-0.695774221,0.6387562724,-0.7216518833,0.7164443721,-0.6577999908
35,S,5,1,16,CORE,13,0,0,0.08,0.15,0.38,0.08,0.15,0.15,0,0,0.2029004916,0.08568051175,0.8204562902,-0.4428959777,-0.1,-0.1,-0.02,0.05,0.28,-0.02,0.05,0.05,-0.1,-0.1,6,0.7692307692,1.3,13,0.3846153846,0.3846153846,-0.3076923077,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5807502497,-0.5973507887,0.5568790296,-0.584574408,0.6190184025,-0.6262140797,0.6454916863,-0.5758730666,0.7951604483,-0.8241442373,0.8093319122,-0.775302885,0.9272307084,-0.8136896153,0.7597960669,-0.8510323731
37,S,7,4,18,CORE,11,0.09,0,0.27,0,0.18,0.18,0,0.18,0,0.09,0.05455936392,-0.2721521829,0.1968572992,-0.1577359012,-0.01,-0.1,0.17,-0.1,0.08,0.08,-0.1,0.08,-0.1,-0.01,6,0.8099173554,1.234693878,11,0.4137045455,0.4093181818,-0.4093181818,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.6545955425,-0.634754504,0.6087777006,-0.6896762739,0.6473184492,-0.5528487359,0.6800058956,-0.6033613708,0.8812595666,-0.9524333398,0.9176342077,-0.9327258553,0.9267273014,-0.8401143328,0.8751678325,-0.8914109214
39,S,9,2,17,CORE,10,0.1,0,0.1,0.1,0,0.1,0.2,0.4,0,0,-0.226283076,0.1351032111,0.4738497979,-0.280132065,0,-0.1,0,0,-0.1,0,0.1,0.3,-0.1,-0.1,6,0.76,1.315789474,10,0.42,0.4,-0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.6999061254,-0.6481194276,0.6520114136,-0.723342242,0.6446315144,-0.6241922922,0.6825525508,-0.6645055812,0.9847853436,-0.9738902325,0.846595973,-0.9040504604,0.8990291303,-0.963580288,0.854761942,-0.9376343446
41,S,10,5,31,CORE,9,0,0,0,0,0,0,0,0.22,0,0.78,-0.828028441,0.3566441901,-0.3078837084,0.3002441107,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.12,-0.1,0.68,NA,NA,NA,NA,0.4333888889,0.3333333333,-0.4444444444,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.7319667744,-0.6540170661,0.6564103527,-0.7241997561,0.7455047842,-0.6769235739,0.7016270703,-0.7152944823,1.021455463,-0.9436997556,1.05204285,-0.9223502212,0.9567858919,-1.043979177,1.029545196,-0.9579159859
43,S,11,3,23,CORE,18,0.11,0,0.44,0.28,0,0,0,0.17,0,0,0.6648811369,-0.1266783653,0.001977670275,-0.7822149201,0.01,-0.1,0.34,0.18,-0.1,-0.1,-0.1,0.07,-0.1,-0.1,4,0.6851851852,1.459459459,18,0.3277777778,0.2777777778,-0.2777777778,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.4728586845,-0.4515379453,0.4750892513,-0.5251017269,0.473196068,-0.4764097822,0.5099840158,-0.4976633926,0.6045661435,-0.6876568855,0.6773921864,-0.6603091599,0.6448193931,-0.6912232287,0.7084607763,-0.6864632263
45,S,12,5,20,CORE,20,0.1,0,0.3,0.25,0.05,0.1,0.05,0.05,0.05,0.05,0.4735182887,0.0148840995,-0.1791769269,-0.4740696485,0,-0.1,0.2,0.15,-0.05,0,-0.05,-0.05,-0.05,-0.05,9,0.815,1.226993865,20,0.315025,0.275125,-0.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.515422562,-0.4938942416,0.4538331619,-0.4965200727,0.491668607,-0.4274289323,0.4795914825,-0.4201980975,0.6453607296,-0.6475432438,0.6502470434,-0.6999208782,0.7234812283,-0.6382189186,0.6375249127,-0.6716884546
47,S,13,5,17,CORE,11,0.36,0,0.55,0,0,0,0,0,0,0.09,0.5542538552,0.03035288877,-0.6023192589,-0.02370348243,0.26,-0.1,0.45,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.01,3,0.5619834711,1.779411765,11,0.4137045455,0.4093181818,-0.4093181818,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.6545955425,-0.634754504,0.6087777006,-0.6896762739,0.6473184492,-0.5528487359,0.6800058956,-0.6033613708,0.8812595666,-0.9524333398,0.9176342077,-0.9327258553,0.9267273014,-0.8401143328,0.8751678325,-0.8914109214
49,S,14,2,26,CORE,15,0.07,0.07,0,0.27,0,0.2,0.07,0.2,0.07,0.07,0.1425862741,0.03760570452,0.06652882805,-0.0910788355,-0.03,-0.03,-0.1,0.17,-0.1,0.1,-0.03,0.1,-0.03,-0.03,8,0.8266666667,1.209677419,15,0.3466666667,0.3668333333,-0.2666666667,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5717838097,-0.5233610938,0.5249275376,-0.5761310962,0.5558637842,-0.4812990226,0.5889956239,-0.5554755478,0.8232792901,-0.7749031346,0.8022006506,-0.8083609659,0.7502621799,-0.7172746398,0.7518074224,-0.7952638068
51,S,16,3,31,CORE,8,0.13,0,0.5,0,0.13,0.13,0,0.13,0,0,0.2984701709,-0.4195057733,0.004113554172,-0.4581236694,0.03,-0.1,0.4,-0.1,0.03,0.03,-0.1,0.03,-0.1,-0.1,NA,NA,NA,NA,0.5,0.4378125,-0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.7581617953,-0.7121543953,0.7099013833,-0.7317369747,0.7921311077,-0.6605913136,0.7703631788,-0.7157060011,1.028444358,-0.9674649105,1.081783975,-1.082713209,1.026027699,-0.9752633752,1.005602285,-1.086409611
53,S,17,5,31,CORE,10,0.1,0.1,0.2,0,0,0,0.1,0,0.4,0.1,-0.4609470068,0.05662411719,-0.7459772277,0.1005602285,0,0,0.1,-0.1,-0.1,-0.1,0,-0.1,0.3,0,6,0.76,1.315789474,10,0.42,0.4,-0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.6999061254,-0.6481194276,0.6520114136,-0.723342242,0.6446315144,-0.6241922922,0.6825525508,-0.6645055812,0.9847853436,-0.9738902325,0.846595973,-0.9040504604,0.8990291303,-0.963580288,0.854761942,-0.9376343446
55,S,18,1,14,CORE,10,0.1,0,0.1,0.2,0.1,0.4,0,0.1,0,0,0.3715512236,-0.1997891979,8.88E-16,-0.01436574692,0,-0.1,0,0.1,0,0.3,-0.1,0,-0.1,-0.1,6,0.76,1.315789474,10,0.42,0.4,-0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.6999061254,-0.6481194276,0.6520114136,-0.723342242,0.6446315144,-0.6241922922,0.6825525508,-0.6645055812,0.9847853436,-0.9738902325,0.846595973,-0.9040504604,0.8990291303,-0.963580288,0.854761942,-0.9376343446
57,S,19,1,27,CORE,10,0,0.2,0.2,0.2,0,0.4,0,0,0,0,0.4162491152,-0.7800641362,-0.1779903247,-0.2729491916,-0.1,0.1,0.1,0.1,-0.1,0.3,-0.1,-0.1,-0.1,-0.1,4,0.72,1.388888889,10,0.42,0.4,-0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.6999061254,-0.6481194276,0.6520114136,-0.723342242,0.6446315144,-0.6241922922,0.6825525508,-0.6645055812,0.9847853436,-0.9738902325,0.846595973,-0.9040504604,0.8990291303,-0.963580288,0.854761942,-0.9376343446
59,S,20,1,71,CORE,16,0.19,0,0.31,0,0.31,0,0.06,0.13,0,0,0.3469673832,0.01165708761,0.4261483908,-0.1810084113,0.09,-0.1,0.21,-0.1,0.21,-0.1,-0.04,0.03,-0.1,-0.1,5,0.75,1.333333333,16,0.353171875,0.28140625,-0.3125,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5364619992,-0.5287358988,0.5022367766,-0.5047590021,0.5046581926,-0.4920320039,0.5458983831,-0.511723618,0.7429933213,-0.6818829228,0.7127932288,-0.7330371643,0.7409527091,-0.7338269159,0.774908591,-0.6824852113
61,S,21,1,14,CORE,16,0,0.38,0.13,0.38,0.06,0,0,0.06,0,0,0.8659378405,-0.6287878538,0.3763506533,-0.5375662499,-0.1,0.28,0.03,0.28,-0.04,-0.1,-0.1,-0.04,-0.1,-0.1,5,0.6953125,1.438202247,16,0.353171875,0.28140625,-0.3125,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5364619992,-0.5287358988,0.5022367766,-0.5047590021,0.5046581926,-0.4920320039,0.5458983831,-0.511723618,0.7429933213,-0.6818829228,0.7127932288,-0.7330371643,0.7409527091,-0.7338269159,0.774908591,-0.6824852113
63,S,24,3,18,CORE,18,0.06,0.11,0.22,0,0.22,0,0,0.28,0.06,0.06,-0.009582110432,-0.3468846882,0.5492781421,-0.224392967,-0.04,0.01,0.12,-0.1,0.12,-0.1,-0.1,0.18,-0.04,-0.04,7,0.8024691358,1.246153846,18,0.3277777778,0.2777777778,-0.2777777778,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.4728586845,-0.4515379453,0.4750892513,-0.5251017269,0.473196068,-0.4764097822,0.5099840158,-0.4976633926,0.6045661435,-0.6876568855,0.6773921864,-0.6603091599,0.6448193931,-0.6912232287,0.7084607763,-0.6864632263
65,S,25,1,17,CORE,14,0,0.21,0.14,0.21,0.14,0.07,0.14,0,0,0.07,0.3613824533,-0.2638793396,0.2408802395,-0.4354257893,-0.1,0.11,0.04,0.11,0.04,-0.03,0.04,-0.1,-0.1,-0.03,7,0.8367346939,1.195121951,14,0.3679107143,0.3571428571,-0.2857142857,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5124792857,-0.5333316503,0.5401708354,-0.5828190604,0.5266253418,-0.5473131855,0.6049646908,-0.5598152005,0.7444493702,-0.7902447547,0.8015264958,-0.780175948,0.8382567353,-0.8338634821,0.759460603,-0.8157692004
