,cam,img_id,treatment,Rep,day,cm,gutter_width,lemna_width,frond_no,density_fpcm,LE_cm,cm_plus,fromLE
483,2,08-18/1245,C,16,30,-41,11.5,11.5,21,NA,196,184,12
482,2,08-18/1245,C,16,30,-39,11.5,11.5,27,NA,196,186,10
481,2,08-18/1245,C,16,30,-37,11.5,11.5,19,NA,196,188,8
480,2,08-18/1244,C,16,30,-35,11.6,11.6,21,1.8,196,190,6
479,2,08-18/1245,C,16,30,-33,11.4,11.4,16,NA,196,192,4
478,2,08-18/1245,C,16,30,-31,11.1,11.1,8,NA,196,194,2
477,2,08-18/1245,C,16,30,-30,11.4,11.4,3,NA,196,195,1
290,3,08-18/1082,C,18,30,-270,12.5,12.5,61,4.9,60,4,56
289,3,08-18/1082,C,18,30,-265,12.6,12.6,73,5.8,60,9,51
288,3,08-18/1082,C,18,30,-255,12.5,12.5,58,4.6,60,19,41
287,3,08-18/1082,C,18,30,-245,12.4,12.4,69,5.6,60,29,31
286,3,08-18/1081,C,18,30,-235,12.3,12.3,60,4.9,60,39,21
285,3,08-18/1080,C,18,30,-229,12.7,12.7,70,NA,60,45,15
284,3,08-18/1080,C,18,30,-227,12.7,12.7,70,NA,60,47,13
283,3,08-18/1081,C,18,30,-225,12.2,12.2,50,4.1,60,49,11
282,3,08-18/1080,C,18,30,-223,12.6,12.6,52,NA,60,51,9
281,3,08-18/1080,C,18,30,-221,12.5,12.5,34,NA,60,53,7
280,3,08-18/1080,C,18,30,-219,12.4,12.4,24,NA,60,55,5
279,3,08-18/1080,C,18,30,-217,12.3,12.3,37,NA,60,57,3
278,3,08-18/1080,C,18,30,-215,12.4,12.4,6,0.5,60,59,1
